Source: ACS 1-Year Estimates-Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Idaho, Indiana, Kansas, Iowa, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Minnesota, Missouri, Montana, Nevada, Nebraska, New Hampshire, New Jersey, New York, New Mexico, North Carolina, North Dakota, Oklahoma, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Selected Geographies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Place of birth (Recode)","Total","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
" -> Total","327167439","4887871","737438","7171646","3013825","39557045","5695564","3572665","967171","702455","21299325","10519475","1420491","1754208","12741080","6691878","3156145","2911510","4468402","4659978","1338404","6042718","6902197","9995915","5611179","2986530","6126452","1062305","1929268","3034392","1356410","8908520","2095428","19542209","10383620","760077","11689442","3943079","4190713","12807060","1057315","5084127","882235","6770010","28701845","3161105","626299","8517685","7535591","1805832","5813568","577737"
"Alabama/AL","4754424","3379611","5114","17645","14277","69788","18373","5186","2313","2653","194058","213773","3245","3457","37783","23643","3187","5527","18013","30301","1407","17087","12152","49786","7921","67664","14096","2103","3629","11587","2170","10816","4675","37632","51042","2276","58855","10173","7258","17790","929","29268","808","122467","96449","4058","923","34540","14593","2988","7425","1910"
"Alaska/AK","644900","7536","299019","12732","3314","30474","14613","2123","426","561","13622","9347","1924","5556","5486","7123","2796","2247","1804","2336","966","5153","4222","5392","4800","863","8863","4441","2304","4800","1654","3215","4016","11176","8834","2948","5786","5409","21867","4613","642","5015","902","5433","26000","10375","906","9415","43285","1238","5253","2075"
"Arizona/AZ","3927871","6190","7349","2847533","9658","201093","54414","4226","446","1444","30094","19398","6095","21347","20703","15377","14011","11537","5263","5291","3164","8579","9530","17368","15234","4447","22348","7029","8758","37339","3555","6771","50662","20363","22160","5254","22354","29859","40203","13922","888","9239","3216","15446","115818","45990","4022","21412","62281","1929","11847","5415"
"Arkansas/AR","2859867","19554","2173","19248","1858939","86104","18184","918","1099","1482","36560","31482","1606","3085","46450","17491","7640","24738","10249","30269","1185","7011","2821","31571","4308","28091","85439","3499","4947","8020","573","5328","5676","7740","17817","1007","12628","101536","11012","8468","439","8477","1458","53333","181158","3276","407","13322","18395","1547","10059","2048"
"California/CA","29640760","65253","48816","700676","108420","22062959","366978","33838","8661","17610","300219","197285","90753","196141","138296","83845","57928","84498","48564","63725","13948","84664","80827","99347","87131","30420","147933","63102","44856","578383","20202","58050","96986","162511","183174","20460","114449","147569","595034","95591","11316","74735","18854","118313","814979","247900","13415","176904","653878","13656","68635","29073"
"Colorado/CO","3700592","10287","9261","84330","12072","169088","2379150","3965","780","1971","56274","31112","9007","21618","26449","15557","18955","40339","10715","9748","5403","13663","11450","19102","18811","5193","36099","26602","29422","23558","4765","8774","49491","23243","30664","3386","20982","33920","35071","22281","908","11790","13073","19869","134160","42410","2373","27250","62849","2040","14697","36615"
"Connecticut/CT","3214656","7993","3079","25065","2310","86187","25519","1946939","3993","7793","205626","41608","2733","2320","15923","7636","2422","2718","6845","4073","33939","24315","129669","10891","7452","2001","8361","2701","3614","10670","31463","31932","5461","144257","60620","146","18093","3910","8162","43573","27082","37134","498","18114","45118","4318","22125","47208","17015","3281","8876","1875"
"Delaware/DE","754875","3491","692","3739","2121","15022","4557","2814","433598","1711","35525","9139","909","835","3582","2439","1142","683","3529","1255","1878","52752","4786","3077","1850","524","2364","665","526","2975","1994","16134","894","9504","16070","31","5083","1270","2697","52637","232","5483","29","2823","12671","1688","836","18324","3969","2088","1564","674"
"District of Columbia/DC","1416534","3573","656","10962","1251","52128","15516","4673","8302","259708","55863","27397","1250","433","9049","4719","1800","2832","2781","3699","3186","491733","15800","4459","2763","1875","5661","1494","1879","5209","3281","11381","3340","26378","45163","489","12226","1438","6998","28687","1532","21218","233","9953","27797","3539","3656","180288","13314","11555","3153","264"
"Florida/FL","10410278","137761","13146","39555","21976","151589","67153","29729","5677","10301","7665441","418187","11833","8795","58520","48905","14733","12837","38518","28569","11222","57164","43105","51907","18078","30127","32065","9803","11067","23206","11515","44671","12415","131610","212541","3833","71280","25019","21316","69054","5367","110526","6261","150102","234922","15924","6094","111608","51170","15421","24940","3720"
"Georgia/GA","7744839","177210","4480","21649","13228","88798","35689","15151","4483","8625","372775","5767504","9702","6151","28892","21351","6432","10602","29234","23855","5666","28379","15763","36280","14391","22199","21180","6544","5083","9689","3657","30230","4222","55589","145232","1600","52433","18001","12430","38243","2243","177858","2909","121544","129174","8995","2055","73652","34185","6023","11193","2386"
"Hawaii/HI","1295779","4327","5969","16577","5362","132894","17010","2517","909","708","24577","13298","754820","2838","6226","4566","3193","3737","4627","3810","1066","8787","3731","4659","3741","2219","3932","1973","1625","38039","560","2295","3105","11894","14888","868","8612","5942","20824","5991","1555","7661","232","7053","37926","10906","1374","21719","49854","968","2883","932"
