Source: ACS 1-Year Estimates-Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Idaho, Indiana, Kansas, Iowa, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Minnesota, Missouri, Montana, Nevada, Nebraska, New Hampshire, New Jersey, New York, New Mexico, North Carolina, North Dakota, Oklahoma, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Access to the Internet (ACCESS)","","","",""
"Selected Geographies","Total","N/A (GQ/vacant)","Yes, by paying a cell phone company or Internet service provider","Yes, without paying a cell phone company or Internet service provider","No access to the Internet at this house, apartment, or mobile home"
" -> Total","138539906","17019721","103769764","3282127","14468294"
"Alabama","2274711","419525","1487278","54353","313555"
"Alaska","318352","63809","223025","7386","24132"
"Arizona","3035902","421605","2264993","62638","286666"
"Arkansas","1380521","224173","898741","50072","207535"
"California","14277867","1205754","11626088","305368","1140657"
"Colorado","2424128","247370","1957897","45175","173686"
"Connecticut","1521123","143036","1203406","32234","142447"
"Delaware","438659","70987","325300","6557","35815"
"District of Columbia","319579","32102","249657","5001","32819"
"Florida","9547762","1738401","6671763","266288","871310"
"Georgia","4326266","523251","3192176","108481","502358"
"Hawaii","546261","90950","391015","11361","52935"
"Idaho","735703","95430","554038","19903","66332"
"Illinois","5376176","511316","4154913","133263","576684"
"Indiana","2903576","304410","2157688","75314","366164"
"Iowa","1409568","141695","1066024","36946","164903"
"Kansas","1280553","147141","958217","33952","141243"
"Kentucky","1995187","262466","1421187","55145","256389"
"Louisiana","2076136","338915","1364097","60940","312184"
"Maine","746592","176283","483025","17616","69668"
"Maryland","2458779","242842","1957350","54576","204011"
"Massachusetts","2915027","290748","2315903","59769","248607"
"Michigan","4614552","657081","3354109","106913","496449"
"Minnesota","2455637","261194","1919412","59029","216002"
"Mississippi","1332631","223998","850616","33868","224149"
"Missouri","2806296","371493","2025813","70292","338698"
"Montana","515161","83742","362079","9290","60050"
"Nebraska","845011","79521","661793","19389","84308"
"Nevada","1268717","138910","971164","24580","134063"
"New Hampshire","638128","106902","476175","12158","42893"
"New Jersey","3628198","378628","2870851","57195","321524"
"New Mexico","943232","149140","614903","26951","152238"
"New York","8363847","996833","6301284","179321","886409"
"North Carolina","4684962","673493","3358260","110923","542286"
"North Dakota","377661","58307","255019","23830","40505"
"Ohio","5217617","532172","3973941","125427","586077"
"Oklahoma","1743073","257767","1220980","39538","224788"
"Oregon","1788743","148779","1445012","52101","142851"
"Pennsylvania","5713136","642200","4293973","113352","663611"
"Rhode Island","469153","62577","347895","8336","50345"
"South Carolina","2318291","390293","1576921","64539","286538"
"South Dakota","397506","52059","286755","10900","47792"
"Tennessee","2992412","389265","2143703","65694","393750"
"Texas","11101498","1325417","8281281","268200","1226600"
"Utah","1108739","109849","901607","35322","61961"
"Vermont","337133","75761","218951","15940","26481"
"Virginia","3538985","363467","2725259","91262","358997"
"Washington","3148084","252503","2609732","67820","218029"
"West Virginia","893742","159041","583530","19373","131798"
"Wisconsin","2710718","338755","2016963","60347","294653"
"Wyoming","278615","48365","198002","7899","24349"
